Sentence,Label
Frank and Grace visited Cairo in Egypt and met with Samsung,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Grace and Hank visited Paris in France and met with Google,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Hank and Ivy visited London in UK and met with Microsoft,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Ivy and Jack visited Tokyo in Japan and met with Apple,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Jack and Karen visited Seattle in USA and met with Amazon,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Karen and Alice visited Berlin in Germany and met with Tesla,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Alice and Bob visited Madrid in Spain and met with Facebook,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Bob and Charlie visited Rome in Italy and met with Intel,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Charlie and David visited Sydney in Australia and met with IBM,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
David and Eve visited Warsaw in Poland and met with Netflix,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Eve and Frank visited Cairo in Egypt and met with Samsung,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Frank and Grace visited Paris in France and met with Google,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Grace and Hank visited London in UK and met with Microsoft,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Hank and Ivy visited Tokyo in Japan and met with Apple,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Ivy and Jack visited Seattle in USA and met with Amazon,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Jack and Karen visited Berlin in Germany and met with Tesla,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Karen and Alice visited Madrid in Spain and met with Facebook,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Alice and Bob visited Rome in Italy and met with Intel,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Bob and Charlie visited Sydney in Australia and met with IBM,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Charlie and David visited Warsaw in Poland and met with Netflix,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
David and Eve visited Cairo in Egypt and met with Samsung,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Eve and Frank visited Paris in France and met with Google,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Frank and Grace visited London in UK and met with Microsoft,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Grace and Hank visited Tokyo in Japan and met with Apple,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Hank and Ivy visited Seattle in USA and met with Amazon,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Ivy and Jack visited Berlin in Germany and met with Tesla,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Jack and Karen visited Madrid in Spain and met with Facebook,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Karen and Alice visited Rome in Italy and met with Intel,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Alice and Bob visited Sydney in Australia and met with IBM,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Bob and Charlie visited Warsaw in Poland and met with Netflix,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Charlie and David visited Cairo in Egypt and met with Samsung,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
David and Eve visited Paris in France and met with Google,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Eve and Frank visited London in UK and met with Microsoft,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Frank and Grace visited Tokyo in Japan and met with Apple,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Grace and Hank visited Seattle in USA and met with Amazon,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Hank and Ivy visited Berlin in Germany and met with Tesla,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Ivy and Jack visited Madrid in Spain and met with Facebook,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Jack and Karen visited Rome in Italy and met with Intel,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Karen and Alice visited Sydney in Australia and met with IBM,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
Alice and Bob visited Warsaw in Poland and met with Netflix,"['PERSON', '0', 'PERSON', '0', 'CITY', '0', 'COUNTRY', '0', '0', '0', 'ORG']"
