sentence1,sentence2,similarity_score
She is allergic to peanuts.,They are renovating their kitchen.,0
They moved to a new apartment.,He is learning to play chess.,0.1
The weather forecast predicts rain.,She is practicing yoga every morning.,0
He works as a software engineer.,I need to pack my luggage.,0
I love listening to classical music.,The car needs an oil change.,0
The child is drawing with crayons.,They are attending a wedding ceremony.,0
She forgot to lock the door.,He is cleaning the windows.,0.1
They went hiking in the mountains.,I need to replace the batteries.,0
He is cooking dinner tonight.,She is knitting a scarf.,0
The airplane took off smoothly.,The baby is sleeping peacefully.,0
I need to renew my passport.,They are building a new bridge.,0
She teaches mathematics at the university.,I enjoy visiting museums.,0.1
The cat is chasing a mouse.,He forgot his umbrella at home.,0.1
They celebrated their anniversary yesterday.,She is looking for a new job.,0
He reads the newspaper every morning.,They are organizing a surprise party.,0
I spilled coffee on my shirt.,She is training for a marathon.,0
She is learning to play the piano.,They are harvesting apples from the orchard.,0
The store is open from 9 am to 5 pm.,He is assembling a new desk.,0
He has a collection of rare coins.,The dog loves playing fetch.,0.1
They adopted a puppy from the shelter.,She is wearing a pair of earrings.,0
I lost my glasses somewhere.,They are studying for the final exam.,0
She prefers walking to driving.,He enjoys reading science fiction novels.,0.1
The conference starts next Monday.,I need to finish this report by Friday.,0
He was promoted to manager.,The coffee is too hot to drink.,0
They are renovating their kitchen.,She enjoys watching horror movies.,0.1
I enjoy watching the sunset.,He is fixing his bicycle.,0.1
She bought a bouquet of roses.,They are camping in the forest.,0
The train was delayed due to snow.,I forgot to send the email.,0.1
He is writing a novel.,She is baking chocolate cookies.,0
They are studying for the final exam.,The airplane took off smoothly.,0
I have an appointment with the dentist.,He is taking a photography class.,0
She is fluent in three languages.,They are exploring the city.,0.1
The park is crowded on weekends.,I have to walk the dog.,0
He forgot his umbrella at home.,She likes to swim in the lake.,0.1
They are discussing the new project.,He is designing a new website.,0.1
I need to replace the batteries.,They are enjoying their vacation.,0
She enjoys watching horror movies.,I am looking forward to the weekend.,0.1
The chef is preparing a special dish.,She bought a ticket to the concert.,0
He has a meeting with the client.,The baby is sleeping peacefully.,0
They are painting the living room.,He is cleaning the windows.,0.1
I am waiting for the bus.,They are attending a wedding ceremony.,0
She is looking for a new job.,I need to pack my luggage.,0.1
The museum is closed on Mondays.,She is practicing yoga every morning.,0
He plays tennis every weekend.,The computer is running slowly.,0
They attended the concert last night.,He forgot to pay the bills.,0
I need to water the plants.,They are harvesting apples from the orchard.,0.1
She is wearing a pair of earrings.,I enjoy visiting museums.,0.1
The movie was extremely entertaining.,She is decorating her new apartment.,0
He always forgets his keys.,The train station is crowded.,0
They are building a new bridge.,He is learning to play chess.,0.1
I like to drink coffee in the morning.,They are rehearsing for the play.,0
She has a meeting at 2 pm.,I spilled juice on the carpet.,0
The dog loves playing fetch.,She adopted a kitten.,0.1
He is saving money to buy a car.,The sun rises in the east.,0
They visited the art gallery.,He is assembling a new desk.,0
I need to finish this report by Friday.,They are singing in the choir.,0
She is allergic to cat hair.,I need to renew my driver's license.,0.1
The students are working on a group project.,She is knitting a scarf.,0
He enjoys reading science fiction novels.,The sun is shining brightly.,0.1
They are organizing a surprise party.,He bought a new laptop yesterday.,0.1
I lost track of time.,She enjoys painting landscapes.,0
She is training for a marathon.,The restaurant was very crowded.,0
The bakery sells fresh bread daily.,I can't find my wallet.,0
He is watching a football match.,He is fluent in Spanish.,0.1
They are learning how to code.,They are watching a movie.,0.1
I need to cancel my subscription.,The flowers are blooming in the garden.,0
She sings beautifully.,She is wearing a red dress.,0.1
The library is quiet and peaceful.,I need to charge my phone.,0
He is fixing his bicycle.,The dog barked loudly.,0.1
They are camping in the forest.,They are planning to build a house.,0.1
I forgot to send the email.,He travels by train every day.,0
She is baking chocolate cookies.,The meeting was postponed to next week.,0
The car needs an oil change.,She has a fear of heights.,0
He is taking a photography class.,I prefer tea over coffee.,0.1
They are exploring the city.,The book is on the table.,0
I have to walk the dog.,He didn't arrive on time.,0
She likes to swim in the lake.,She is allergic to peanuts.,0.1
The coffee is too hot to drink.,They moved to a new apartment.,0
He is designing a new website.,The weather forecast predicts rain.,0
They are enjoying their vacation.,He works as a software engineer.,0
I am looking forward to the weekend.,I love listening to classical music.,0.1
She bought a ticket to the concert.,The child is drawing with crayons.,0
The baby is sleeping peacefully.,She forgot to lock the door.,0
He is cleaning the windows.,They went hiking in the mountains.,0.1
They are attending a wedding ceremony.,He is cooking dinner tonight.,0
I need to pack my luggage.,The airplane took off smoothly.,0
She is practicing yoga every morning.,I need to renew my passport.,0
The computer is running slowly.,She teaches mathematics at the university.,0
He forgot to pay the bills.,The cat is chasing a mouse.,0.1
They are harvesting apples from the orchard.,They celebrated their anniversary yesterday.,0.1
I enjoy visiting museums.,He reads the newspaper every morning.,0.1
She is decorating her new apartment.,I spilled coffee on my shirt.,0
The train station is crowded.,She is learning to play the piano.,0.1
He is learning to play chess.,The store is open from 9 am to 5 pm.,0
They are rehearsing for the play.,He has a collection of rare coins.,0
I spilled juice on the carpet.,They adopted a puppy from the shelter.,0.1
She adopted a kitten.,I lost my glasses somewhere.,0.1
The sun rises in the east.,She prefers walking to driving.,0
He is assembling a new desk.,The conference starts next Monday.,0
They are singing in the choir.,He was promoted to manager.,0
I need to renew my driver's license.,They are renovating their kitchen.,0.1
She is knitting a scarf.,I enjoy watching the sunset.,0
The sky is clear today.,There are no clouds in the sky today.,0.9
He enjoys playing basketball.,She dislikes sports.,0.1
The book was fascinating.,The movie adaptation was boring.,0.3
She is a talented musician.,She plays the piano beautifully.,0.8
I need to call my mother.,I should phone my mom.,0.95
They are going to the beach.,They are heading to the mountains.,0.2
He has a black cat.,She owns a white dog.,0.2
The weather is cold and snowy.,It's warm and sunny outside.,0
I love Italian cuisine.,I enjoy eating pasta and pizza.,0.85
She forgot her password again.,She remembered her login details.,0.2
He drives a red sports car.,He owns a fast red automobile.,0.9
They are studying French.,They are learning a new language.,0.7
I bought a new pair of shoes.,I purchased fresh vegetables.,0.1
She reads a lot of books.,She is an avid reader.,0.95
The coffee tastes bitter.,The tea is sweet.,0.2
He is late for the meeting.,He arrived early for the appointment.,0.1
They visited the zoo yesterday.,They saw animals at the zoo yesterday.,0.9
I need to finish my homework.,I have to complete my assignments.,0.9
She is afraid of spiders.,She loves insects.,0.1
The cake is delicious.,The dessert tastes great.,0.85
He works out at the gym daily.,He exercises every day.,0.9
They are watching a comedy show.,They are attending a funeral.,0
I have an exam tomorrow.,I need to study tonight.,0.8
She wears glasses.,She has poor eyesight.,0.75
The phone is ringing.,The telephone is making noise.,0.85
He is allergic to pollen.,He sneezes during spring.,0.8
They are painting the fence.,They are cleaning the house.,0.3
I lost my wallet.,I can't find my money holder.,0.9
She enjoys hiking in nature.,She likes walking in the wilderness.,0.85
The car won't start.,The vehicle refuses to ignite.,0.9
He is a professional photographer.,He takes pictures for a living.,0.95
They are arguing loudly.,They are having a quiet conversation.,0.1
I prefer cats over dogs.,I like felines more than canines.,0.95
She is baking bread.,She is cooking pasta.,0.4
The sun sets in the west.,The sun rises in the east.,0.2
He is wearing a blue shirt.,He has on a green jacket.,0.3
They booked a hotel room.,They reserved accommodation.,0.85
I am learning to drive.,I am taking driving lessons.,0.9
She spilled wine on the carpet.,She stained the rug with red liquid.,0.8
The concert was amazing.,The performance was incredible.,0.9
He missed the bus.,He didn't catch the bus.,0.9
They are planting flowers.,They are gardening.,0.8
I need a haircut.,My hair is too long.,0.85
She speaks fluent German.,She is proficient in German.,0.95
The food was expensive.,The meal cost a lot.,0.9
He is listening to music.,He is wearing headphones.,0.7
They are building a snowman.,They are making a figure out of snow.,0.9
I have a toothache.,My tooth hurts.,0.9
She wants to adopt a child.,She is considering parenthood.,0.7
The plane landed safely.,The aircraft touched down without issues.,0.9
He is afraid of flying.,He fears air travel.,0.85
They are celebrating their victory.,They are rejoicing over their win.,0.95
I forgot to lock the door.,I left the door unlocked.,0.9
She teaches English online.,She instructs students over the internet.,0.8
The milk has gone bad.,The milk is spoiled.,0.95
He is mowing the lawn.,He is cutting the grass.,0.95
They are fishing by the lake.,They are catching fish at the lake.,0.9
I dropped my phone in water.,My phone fell into the water.,0.9
She is knitting a sweater.,She is crafting a woolen garment.,0.8
The store is having a sale.,The shop offers discounts.,0.85
He is a skilled carpenter.,He is adept at woodworking.,0.9
They are attending a seminar.,They are participating in a workshop.,0.8
I need to wash my car.,My vehicle needs cleaning.,0.9
She wrote a letter to her friend.,She sent a note to her buddy.,0.8
The lights went out.,The power failed.,0.7
He is allergic to nuts.,He cannot eat almonds or peanuts.,0.85
They are playing chess.,They are engaged in a board game.,0.8
I overslept this morning.,I woke up late today.,0.9
She has a beautiful voice.,She sings wonderfully.,0.85
The baby is crying.,The infant is wailing.,0.9
He is watching the news.,He is viewing current events on TV.,0.85
They are waiting in line.,They are standing in a queue.,0.95
I need to buy stamps.,I have to purchase postage.,0.9
She is afraid of the dark.,She fears being without light.,0.85
The laptop battery is dead.,The portable computer won't turn on.,0.8
He is eating an apple.,He is consuming a fruit.,0.85
They are playing cards.,They are engaged in a card game.,0.9
I have a meeting at noon.,I am scheduled to meet at 12 pm.,0.95
She is watching a horror movie.,She is viewing a scary film.,0.9
The dog chased the squirrel.,The canine pursued the rodent.,0.85
He forgot his anniversary.,He didn't remember his special date.,0.9
They are riding bicycles.,They are cycling.,0.95
I need to print this document.,I have to produce a hard copy of this file.,0.85
She loves chocolate ice cream.,Her favorite dessert is chocolate ice cream.,0.9
The clock is broken.,The timepiece doesn't work.,0.85
He is learning to swim.,He is taking swimming lessons.,0.9
They are moving to a new city.,They are relocating.,0.8
I am allergic to shellfish.,I cannot eat seafood like shrimp.,0.85
She is a famous actress.,She is well-known in the film industry.,0.9
The train is arriving now.,The locomotive is pulling into the station.,0.85
He spilled coffee on his shirt.,He stained his clothing with coffee.,0.9
They are watching fireworks.,They are observing pyrotechnics.,0.85
I lost my voice.,I can't speak.,0.9
She is practicing the violin.,She is playing her string instrument.,0.85
The house is haunted.,There are ghosts in the home.,0.8
He enjoys cooking Italian food.,He likes preparing dishes from Italy.,0.9
They are writing a report.,They are composing a document.,0.85
I need to get my car repaired.,My vehicle requires fixing.,0.9
She is attending a conference.,She is going to a professional meeting.,0.85
The river is flooding.,The water level is rising dangerously.,0.8
He bought tickets to the game.,He purchased admission to the match.,0.9
They are rehearsing their lines.,They are practicing for the play.,0.85
I forgot my keys inside.,I left my keys in the house.,0.9
She is planting vegetables.,She is starting a garden.,0.8
The wifi is not working.,The internet connection is down.,0.85
He is writing in his journal.,He is keeping a diary.,0.9
They are looking at the stars.,They are stargazing.,0.95
I need to charge my laptop.,My computer's battery is low.,0.9
She is feeding the birds.,She is giving food to the birds.,0.95
The meeting was canceled.,The appointment was called off.,0.9
He is building a model airplane.,He is assembling a miniature aircraft.,0.85
